,mark,tag
2385,GEM MADE IN GT BRITAIN,Castlecary Fireclay Company - Weir
2386,GEM MADE IN GT BRITAIN,Gem
2387,GEM X,Auchinlee
2388,GEM X,Thomas Gibb
2389,GIBB & SONS AUCHINLEE,Thomas Gibb
2390,GIBB & SONS AUCHINLEE,Thomas Gibb
2391,GIBB & SONS AUCHINLEE,Thomas Gibb
2392,GIBB & SONS AUCHINLEE,Thomas Gibb
2393,GIBB & SONS AUCHINLEE,Auchinlee
2394,GIBB & SONS AUCHINLEE,Thomas Gibb
2395,GIBB & SON.S AUCHINLEE,Gilbertfield
2396,Null,Null
2397,GILBERTFIELD,Gilbertfield
2398,GILBERTFIELD,Dated
2399,GILBERTFIELD,James Goldie Glasgow
2400,GILBERTFIELD,William Gilchrist
2401,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1868,Dated
2402,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1868,James Goldie Glasgow
2403,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1868,William Gilchrist
2404,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1869,Dated
2405,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1869,James Goldie Glasgow
2406,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1869,William Gilchrist
2407,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1870,Dated
2408,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1870,James Goldie Glasgow
2409,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1870,William Gilchrist
2410,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1872,Dated
2411,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1872,James Goldie Glasgow
2412,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1872,William Gilchrist
2413,Nan,Nan
2414,Nan,Nan
2415,Nan,Nan
2416,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1875,Dated
2417,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1875,James Goldie Glasgow
2418,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1875,William Gilchrist
2419,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1876,Dated
2420,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1876,James Goldie Glasgow
2421,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1876,William Gilchrist
2422,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1878,Dated
2423,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1878,James Goldie Glasgow
2424,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1878,William Gilchrist
2425,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1880,Dated
2426,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1880,James Goldie Glasgow
2427,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1880,William Gilchrist
2428,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1881,James Goldie Glasgow
2429,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1881,William Gilchrist
2430,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1882,Dated
2431,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1882,James Goldie Glasgow
2432,GILCHRIST & GOLDIE CROW ROAD PARTICK GLASGOW 1882,William Gilchrist
2433,GILCHRIST & GOLDIE LANGSIDE ROAD GLASGOW,Dated
2434,GILCHRIST & GOLDIE LANGSIDE ROAD GLASGOW,James Goldie Glasgow
2435,GILCHRIST & GOLDIE LANGSIDE ROAD GLASGOW,William Gilchrist
2436,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1865,Dated
2437,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1865,James Goldie Glasgow
2438,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1865,William Gilchrist
2439,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1866,Dated
2440,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1866,James Goldie Glasgow
2441,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1866,William Gilchrist
2442,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1867,Dated
2443,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1867,James Goldie Glasgow
2444,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1867,William Gilchrist
2445,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1868,Dated
2446,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1868,James Goldie Glasgow
2447,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1868,William Gilchrist
2448,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1870,Dated
2449,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1870,James Goldie Glasgow
2450,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1870,William Gilchrist
2451,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1873,Dated
2452,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1873,James Goldie Glasgow
2453,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1873,William Gilchrist
2454,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1875,Dated
2455,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1875,James Goldie Glasgow
2456,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1875,William Gilchrist
2457,GILCHRIST & GOLDIE OLD LANGSIDE ROAD GLASGOW 1877,Dated
