,mark,tag
3327,HURLL PM,RB
3328,HURLL R,P and M Hurll
3329,HURLL R,RB
3330,HURLL RB,P and M Hurll
3331,HURLL RB,P and M Hurll
3332,HURLL R 2,P and M Hurll
3333,HURLL R 5,P and M Hurll
3334,HURLL R 12,P and M Hurll
3335,HURLL R 60   69,P and M Hurll
3336,HURLL R 72   81,P and M Hurll
3337,HURLL R 78 ,P and M Hurll
3338,HURLL R 78<,P and M Hurll
3339,HURLL R 1165,India
3340,HURLL R 1165,Manufactured in Scotland and branded for National and Overseas Customers
3341,HURLL R 1165,P and M Hurll
3342,HURLL R 1165,Railway Related
3343,HURLL R 1165,SIR
3344,HURLL R 1174,P and M Hurll
3345,HURLL SIR 1922,Fingerprint
3346,HURLL SIR 1922,P and M Hurll
3347,HURLL T,P and M Hurll
3348,HURLL W,P and M Hurll
3349,HURLL W,P and M Hurll
3350,HURLL ,P and M Hurll
3351,HURLL Y,P and M Hurll
3352,HURLL GLASGOW S,P and M Hurll
3353,HURLL Z GLASGOW,P and M Hurll
3354,HURLL 1,P and M Hurll
3355,HURLL 1 GLASGOW,P and M Hurll
3356,HURLL 2,P and M Hurll
3357,HURLL 2,P and M Hurll
3358,HURLL 2 1/2,P and M Hurll
3359,HURLL 3,P and M Hurll
3360,HURLL 4,P and M Hurll
3361,HURLL 4,P and M Hurll
3362,HURLL 4 J,Fingerprint
3363,HURLL 4 J,P and M Hurll
3364,HURLL 5,Fingerprint
3365,HURLL 5,P and M Hurll
3366,HURLL 5,P and M Hurll
3367,HURLL 5,P and M Hurll
3368,HURLL 5,P and M Hurll
3369,HURLL 5 GLASGOW,P and M Hurll
3370,HURLL 6,P and M Hurll
3371,HURLL 6,P and M Hurll
3372,HURLL 6 P,P and M Hurll
3373,HURLL 7,P and M Hurll
3374,HURLL 7,P and M Hurll
3375,HURLL 7,P and M Hurll
3376,HURLL 7,P and M Hurll
3377,HURLL 7 ,Fingerprint
3378,HURLL 7 ,P and M Hurll
3379,HURLL 7 M,P and M Hurll
3380,HURLL 8,P and M Hurll
3381,HURLL 8,P and M Hurll
3382,HURLL 9,P and M Hurll
3383,HURLL 10,P and M Hurll
3384,HURLL 11,P and M Hurll
3385,HURLL 11,P and M Hurll
3386,HURLL 13,Fingerprint
3387,HURLL 13,P and M Hurll
3388,HURLL 15 GLASGOW,P and M Hurll
3389,HURLL 16 GLASGOW,P and M Hurll
3390,HURLL 26,P and M Hurll
3391,HURLL 34,P and M Hurll
3392,HURLL 37,P and M Hurll
3393,HURLL 67,P and M Hurll
3394,HURLL 72 81,P and M Hurll
3395,HURLL 78>,P and M Hurll
3396,HURLL 99   108,Fingerprint
3397,HURLL 99   108,P and M Hurll
3398,HURLL 119,Dated
3399,HURLL 119,P and M Hurll
3400,HURLL 301,P and M Hurll
3401,HURLL 1893,P and M Hurll
3402,HURLL 1907,Airdrie House
3403,HURLL 1907,Banton
3404,HURLL 1907,Hyslop
3405,HURLL 1907,Kipps
3406,HURLL 1185,Airdrie House
3407,HURLL 1185,Banton
3408,HURLL 1185,Hyslop
3409,HURLL 1185,Kipps
3410,HYSLOP,Glenboig
3411,HYSLOP,Calder Fireclay Company
3412,H 1 GLENBOIG,P and M Hurll
3413,H 1 X CALDER 3,J and M Craig
3414,H 1 X CALDER 3,perceton
3415,H 349  ,Etna
3416,H 349  ,Ibstock Scottish Brick Limited
3417,I,Australia
3418,I,IFB
3419,I,Inverkeithing
3420,IFB  ,Ignis
3421,IFB  ,J and R Howie
3422,IFO K 4  ,Ignis
3423,IFO K 4  ,J and R Howie
3424,IGNIS,Roman Numerals
3425,IGNIS 4,Errol
3426,IGNIS 4,Inchcoonans
3427,II  ,Inchcoonans
3428,INCHCOONANS,Dated
3429,INCHCOONANS,Inchcoonans
3430,INCHCOONANS,Dated
3431,INCHCOONANS,Inchcoonans
3432,INCHCOONANS AD 1957,Dated
3433,INCHCOONANS AD 1957,Inchcoonans
3434,INCHCOONANS 1964,Dated
3435,INCHCOONANS 1964,Errol
3436,INCHCOONANS 1964,Inchcoonans
3437,INCHCOONANS 1966,Dated
3438,INCHCOONANS 1966,Errol
3439,INCHCOONANS 1966,Inchcoonans
3440,INCHCOONANS 1967,Dated
3441,INCHCOONANS 1967,Errol
3442,INCHCOONANS 1967,Inchcoonans
3443,INCHCOONANS 1968,Dated
3444,INCHCOONANS 1968,Inchcoonans
3445,INCHCOONANS 1970,Dated
3446,INCHCOONANS 1970,Errol
3447,INCHCOONANS 1970,Inchcoonans
3448,INCHCOONANS 1972,Dated
3449,INCHCOONANS 1972,Errol
3450,INCHCOONANS 1972,Inchcoonans
3451,INCHCOONANS 1973,Dated
3452,INCHCOONANS 1973,Errol
3453,INCHCOONANS 1973,Inchcoonans
3454,INCHCOONANS 1974,Fraser and Sanderson
3455,INCHCOONANS 1975,Camps
3456,INCHCOONANS 1975,Invertiel
3457,INCHCOONANS 1975,William Torrance
3458,INVERKEITHING F & S,Roman Numerals
3459,INVER TIEL,Buccleuch
3460,INVER TIEL,Isherwood
3461,INVER TIEL,Sanquhar
3462,IV  ,Buccleuch
3463,IV  ,Isherwood
3464,IV  ,Sanquhar
3465,ISHERWOOD,Isherwood
3466,ISHERWOOD,Sanquhar
3467,ISHERWOOD BROS LTD SANQUHAR,J and M Craig
3468,ISHERWOOD BROS LTD SANQUHAR,Paver / Stable / Byre Block
3469,ISHERWOOD BROS LTD SANQUHAR,J and M Craig
3470,J & M C LTD,J and M Craig
3471,J & M CRAIG,J and M Craig
3472,J & M CRAIG KILMARNOCK,J and M Craig
3473,J & M CRAIG KILMARNOCK,J and M Craig
3474,J & M CRAIG KILMARNOCK,J and M Craig
3475,J & M CRAIG KILMARNOCK,J and M Craig
3476,J & M CRAIG KILMARNOCK,J and M Craig
3477,J & M CRAIG KILMARNOCK,J and M Craig
3478,J & M CRAIG KILMARNOCK,Sink
3479,J & M CRAIG KILMARNOCK,J and M Craig
3480,J & M CRAIG KILMARNOCK,J and M Craig
3481,J & M CRAIG KILMARNOCK 4 3,J and M Craig
3482,J & M CRAIG KILMARNOCK 4 3,Lilliehill
3483,J & M CRAIG KILMARNOCK 4 3,trough
3484,J & M CRAIG KILMARNOCK LIMITED,J and M Craig
3485,J & M CRAIG L(TD) DUNFERMLINE,J and M Craig
3486,J & M CRAIG LTD KILMARNOCK ,Dean
3487,J & M CRAIG LTD KILMARNOCK ,J and M Craig
3488,J & M CRAIG LTD KILMARNOCK ,trough
3489,J & M CRAIG (KILMARNOCK) LTD,Hillhead
3490,J & M CRAIG (KILMARNOCK) LTD,J and M Craig
3491,J & M CRAIG (KILMARNOCK) LTD,trough
3492,J & M CRAIG DEAN KILMARNOCK,Hillhead
3493,J & M CRAIG DEAN KILMARNOCK,J and M Craig
3494,J & M CRAIG DEAN KILMARNOCK,trough
3495,J & M CRAIG HILLHEAD KILMARNOCK,J and M Craig
3496,J & M CRAIG HILLHEAD KILMARNOCK,Lilliehill
3497,J & M CRAIG HILLHEAD KILMARNOCK,J and M Craig
3498,J & M CRAIG HILLHEAD KILMARNOCK,trough
3499,J & M CRAIG LD LILLIEHILL DUNFERMLINE,J and M Craig
3500,J & M CRAIG LIMITED,J and M Craig
3501,J & M CRAIG LIMITED,trough
3502,J & M CRAIG LTD,J and M Craig
3503,J & M CRAIG LTD KILMARNOCK,J and M Craig
3504,J & M CRAIG LTD KILMARNOCK SCOTLAND,J and M Craig
3505,J & M CRAIG LTD KILMARNOCK SCOTLAND,J and M Craig
3506,J & M CRAIG LTD KILMARNOCK SCOTLAND 3,J and M Craig
3507,J & M CRAIG LTD KILMARNOCK SCOTLAND 3,perceton
3508,J & M CRAIG LTD KILMARNOCK SCOTLAND 3,trough
3509,J & M CRAIG PERCETON KILMARNOCK ,J and M Craig
3510,J & M CRAIG PERCETON KILMARNOCK ,perceton
3511,J & M CRAIG PERCETON KILMARNOCK,J and M Craig
3512,J & M CRAIG PERCETON KILMARNOCK,perceton
3513,J & M CRAIG PERCETON KILMARNOCK,J and M Craig
3514,J & M CRAIG PERCETON KILMARNOCK,Maguires
3515,J & M CRAIG PERCETON KILMARNOCK C,J and M Craig
3516,J & M CRAIG PERCETON KILMARNOCK   MAGUIRES PATENT,J and M Craig
3517,J & M CRAIG PERCETON KILMARNOCK   MAGUIRES PATENT,perceton
3518,J & M CRAIG (SCOTLAND) KILMARNOCK,J and M Craig
3519,J & M CRAIG 3,Hurlford
3520,J & M CRAIG 3,J and R Howie
3521,J & M CRAIG 3,trough
3522,J & M CRAIG 8,J and R Howie
3523,J & R,Hurlford
3524,J & R,J and R Howie
3525,J & R,trough
3526,J & R H,Hurlford
3527,J & R H,J and R Howie
3528,J & R H,Sink
3529,J & R H LTD H CX,Hurlford
3530,J & R H LTD H CX,J and R Howie
3531,J & R H LTD H JS MADE IN BRITAIN,J and R Howie
3532,J & R HOWIE KILMARNOCK,Hurlford
3533,J & R HOWIE KILMARNOCK,J and R Howie
3534,J & R HOWIE KILMARNOCK 3,Hurlford
3535,J & R HOWIE KILMARNOCK 3,J and R Howie
3536,J & R HOWIE LTD KILMARNOCK ,J and R Howie
3537,J & R HOWIE LTD KILMARNOCK ,Plann
3538,(J & R) HOWIE (HUR)FORD,Hurlford
3539,(J & R) HOWIE (HUR)FORD,J and R Howie
3540,J & R HOWIE PLANN KILMARNOCK,Errol
3541,J & R HOWIE PLANN KILMARNOCK,Inchcoonans
3542,J & R HOWIE PLANN KILMARNOCK,J Adamson
3543,J & R HOWIE PLANN KILMARNOCK,Megginch
3544,J & R HOWIE SCOTLAND HURLFORD,John Agnew
3545,J ADAMSON & CO ERROL,John Agnew
3546,J AGNEW,Barlinnie
3547,J AGNEW CARLUKE,James Shaw - Glasgow
3548,J AGNEW CARLUKE,Westmuir
3549,(J) ALLAN & SON BARLINNIE,Larbert
3550,JAMES SHAW PATENT WESTMUIR,DRL
3551,JB ‘CROWN’ & CO LARBERT,Auchenheath
3552,JB ‘CROWN’ & CO LARBERT,John and James Baird
3553,JB DRL E 03/02/92 DKN,Gartcosh
3554,JB DRL E 03/02/92 DKN,James Binnie
3555,JB DRL E 03/02/92 DKN,Roof Ventilator
3556,J BAIRD PATENT,Gartcosh
3557,J BAIRD PATENT,James Binnie
3558,J BINNIE GARTCOSH,Buccleuch
3559,J BINNIE GARTCOSH,James Brodie
3560,J BINNIE GARTCOSH,Paver / Stable / Byre Block
3561,J BINNIE GARTCOSH,Sanquhar
3562,J BINNIE GLASGOW GARTCOSH,James Brodie
3563,J BINNIE GLASGOW GARTCOSH,Paver / Stable / Byre Block
3564,J BINNIE GLASGOW GARTCOSH,Sanquhar
3565,J BRODIE LD SANQUHAR NB,Buccleuch
3566,J BRODIE LD SANQUHAR NB,James Brodie
3567,J BRODIE LD SANQUHAR NB,Sanquhar
3568,J BRODIE LTD SANQUHAR NB   Paver   8 Squares,James Brodie
3569,J BRODIE LTD SANQUHAR NB   Paver   8 Squares,Paver / Stable / Byre Block
3570,J BRODIE LTD SANQUHAR NB   Paver   8 Squares,Sanquhar
3571,J BRODIE SANQUHAR NB,James Brodie
3572,J BRODIE SANQUHAR NB,Paver / Stable / Byre Block
3573,J BRODIE SANQUHAR NB,Sanquhar
3574,J BRODIE SANQUHAR NB   Paver    geometric design,Buccleuch
3575,J BRODIE SANQUHAR NB   Paver    geometric design,James Brodie
3576,J BRODIE SANQUHAR NB   Paver    geometric design,Paver / Stable / Byre Block
3577,J BRODIE SANQUHAR NB   Paver    geometric design,Sanquhar
3578,J BRODIE SANQUHAR NB   Paver   8 squares,Buccleuch
3579,J BRODIE SANQUHAR NB   Paver   8 squares,James Brodie
3580,J BRODIE SANQUHAR NB   Paver   8 squares,Paver / Stable / Byre Block
3581,J BRODIE SANQUHAR NB   Paver   8 squares,Sanquhar
3582,(J BRODIE) Paver   Diamond checker,JB
3583,(J BRODIE) Paver  2 Squares,JB
3584,JB   A  ,India
3585,JB   A  ,JBR
3586,JB   A  ,Manufactured in Scotland and branded for National and Overseas Customers
3587,JB   A  ,P and M Hurll
3588,JB   A  ,Railway Related
3589,JB   M  ,James B Smith
3590,Nan,Nan
3591,Nan,Nan
3592,Nan,Nan
3593,JBR1,Esk Bridge
3594,JBR1,John Dennis
3595,JB SMITH & CO,James Dougall
3596,JG,James Dougall
3597,JD,James Dougall
3598,JD,James Dougall
3599,JD,James Dougall
3600,JD 7,Glenboig
3601,JD 60,Bourtreehill
3602,JD 63,John Gilchrist Stein
3603,JD 237 GLENBOIG,John Gilchrist Stein
3604,JG 76,John Gilchrist Stein
3605,JGS,John Gilchrist Stein
3606,JGS X,John Gilchrist Stein
3607,JGS & CO,John Gilchrist Stein
3608,JGS & CO,John Gilchrist Stein
3609,JGS & CO,John Gilchrist Stein
3610,JGS & CO C,John Gilchrist Stein
3611,JGS & CO D,John Gilchrist Stein
3612,JGS & CO 21,John Gilchrist Stein
3613,JGS & CO 34 AP,John Gilchrist Stein
3614,JGS & CO 34 AP,John Gilchrist Stein
3615,JG STEIN & CO,John Gilchrist Stein
3616,JG STEIN & CO DENNY,Bonnyton Fireclay Works
3617,JG STEIN & CO DENNY,John Gilmour
3618,JG STEIN & CO DENNY,trough
3619,JG STEIN & CO DENNY,Bonnyton Fireclay Works
3620,JG STEIN & CO DENNY,Fingerprint
3621,JG STEIN & CO DENNY,John Gilmour
3622,JG STEIN & CO GLASGOW,Glenboig
3623,J GILMOUR & CO BONNYTON KILMARNOCK,Braidwood
3624,J GILMOUR & CO KILMARNOCK,Braidwood
3625,J GILMOUR & CO KILMARNOCK,trough
3626,JL 41 GLENBOIG,John McKnight
3627,JL 41 GLENBOIG,Plann
3628,J MCD 85,Heatheryknowe
3629,J MCD 85,James McNaughton
3630,J MCDONALD   X   BRAIDWOOD,Heatheryknowe
3631,J MCDONALD   X   BRAIDWOOD,James McNaughton
3632,J MCKNIGHT & SON PLANN KILMARNOCK,Jeanfield
3633,J MCKNIGHT & SON PLANN KILMARNOCK,John Porter
3634,J McN S & CO HEATHERYKNOWE GLASGOW,John Paterson
3635,J McN S & CO HEATHERYKNOWE GLASGOW   HEATHERYKNOWE,John Watson
3636,JP & S,Dated
3637,JP & S,James Goldie Glasgow
3638,J PATERSON & SON LTD GLASGOW,Dated
3639,J PATERSON & SON LTD GLASGOW,James Goldie Glasgow
3640,J WATSON,Dated
3641,J WATSON,James Goldie Glasgow
3642,"JAMES GOLDIE & SON, CROW ROAD PARTICK 1884",Dated
3643,"JAMES GOLDIE & SON, CROW ROAD PARTICK 1884",James Goldie Glasgow
3644,JAMES GOLDIE & SON  CROW ROAD PARTICK 1886,Dated
3645,JAMES GOLDIE & SON  CROW ROAD PARTICK 1886,Fingerprint
3646,JAMES GOLDIE & SON  CROW ROAD PARTICK 1886,James Goldie Glasgow
3647,JAMES GOLDIE & SON (CROW) ROAD PARTICK 1891,James Goldie Glasgow
3648,JAMES GOLDIE & SON (CROW) ROAD PARTICK 1891,westthorn
3649,JAMES GOLDIE & SON CROW ROAD PARTICK 1893,Dated
3650,JAMES GOLDIE & SON CROW ROAD PARTICK 1893,James Goldie Glasgow
3651,JAMES GOLDIE & SON CROW ROAD PARTICK 1893,westthorn
3652,"JAMES GOLDIE & SON, CROW ROAD PARTICK 1898",James Goldie Glasgow
3653,JAS GOLDIE & SON WESTTHORN GLASGOW,Dated
3654,JAS GOLDIE & SON WESTTHORN GLASGOW,James Goldie Glasgow
3655,JAS GOLDIE & SON WESTTHORN GLASGOW 1887,Dated
3656,JAS GOLDIE & SON WESTTHORN GLASGOW 1887,James Goldie Glasgow
3657,JAS GOLDIE & SON OLD LANGSIDE ROAD GLASGOW,James Goldie Glasgow
3658,JAS GOLDIE & SON OLD LANGSIDE ROAD GLASGOW 1883,Dated
3659,JAS GOLDIE & SON OLD LANGSIDE ROAD GLASGOW 1883,James Goldie Glasgow
3660,JAS GOLDIE & SON OLD LANGSIDE ROAD GLASGOW 1885,Dated
3661,JAS GOLDIE & SON OLD LANGSIDE ROAD GLASGOW 1885,James Goldie Glasgow
3662,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW,Dated
3663,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW,James Goldie Glasgow
3664,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1883,Dated
3665,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1883,James Goldie Glasgow
3666,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1884,James Murray Kildale
3667,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1884,Murray Rutherglen
3668,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1884,Rutherglen
3669,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1884,Boot print
3670,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1884,James Miller
3671,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1884,Rochsolloch
3672,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1887,Carfin Brickworks
3673,JAS GOLDIE & SON SHAWFIELD TOLL GLASGOW 1887,Jenny Lind
3674,JAS MURRAY & SON KILDALE RUTHERGLEN,Glenboig
3675,JAMES MILLER PATENT ROCHSOLLOCH,Glenboig
3676,JENNY LIND,Jeanfield
3677,JENNY LIND,John Porter
3678,JL 321,Glenboig
3679,JL 321,John Thomson Glenboig
3680,JM 3844 GLENBOIG,Doura
3681,JM 3844 GLENBOIG,John Barr
3682,JN PORTER PATENT GLASGOW,Dated
3683,JN PORTER PATENT GLASGOW,John Gilchrist Stein
3684,JN THOMSON & CO GLENBOIG,Bankpark
3685,JN THOMSON & CO GLENBOIG,John Grieve
3686,JOHN BARR DOURA,Bankpark
3687,JOHN BARR DOURA,John Grieve
3688,JOHN G STEIN & COLTD 19 3 45,John McKnight
3689,JOHN G STEIN & COLTD 19 3 45,Plann
3690,JOHN GRIEVE BANKPARK FIREBRICK WORKS,John McKnight
3691,JOHN GRIEVE BANKPARK FIREBRICK WORKS,Plann
3692,JOHN GRIEVE BANKPARK FIREBRICK WORKS,John Paterson
3693,JOHN MCKNIGHT & SON PLAN KILMARNOCK,John Paterson
3694,JOHN MCKNIGHT & SON PLAN KILMARNOCK,Scottish bricks associated with particular structures
3695,JOHN MCKNIGHT & (SON) PLANN KILMARNOCK,John Paterson
3696,JOHN PATERSON PATENT GLASGOW,John Paterson
3697,JOHN PATERSON & SON PATENT GLASGOW,Jeanfield
3698,JOHN PATERSON & SON PATENT GLASGOW,John Porter
3699,JOHN PATERSON & SON PATENT GLASGOW,Jeanfield
3700,JOHN PATERSON & SON PATENT GLASGOW,John Porter
3701,JOHN PATERSON & SON PATENT GLASGOW 15,Jeanfield
3702,JOHN PATERSON & SON PATENT GLASGOW 15,John Porter
3703,JOHN PATERSON & SON PATENT GLASGOW 15,Scottish bricks associated with particular structures
3704,JOHN PORTER & SONS JEANFIELD LONDON ROAD,Jeanfield
3705,JOHN PORTER & SONS JEANFIELD LONDON ROAD,John Porter
3706,JOHN PORTER & SONS JEANFIELD LONDON ROAD,Jeanfield
3707,JOHN PORTER & SONS JEANFIELD LONDON ROAD,John Porter
3708,JOHN PORTER PATENT LONDON ROAD,John Porter
3709,JOHN PORTER PATENT LONDON ROAD,Scottish bricks associated with particular structures
3710,JOHN PORTER PATENT LONDON ROAD,William Arrol
3711,JOHN PORTER PATENT LONDON ROAD,Jeanfield
3712,JOHN PORTER PATENT LONDON ROAD,John Porter
3713,JOHN PORTER PATENT LONDON ROAD,John Street
3714,JOHN PORTER PATENT LONDON ROAD,Scottish bricks associated with particular structures
3715,JOHN PORTER PATENT LONDON ROAD,Appin
3716,JOHN PORTER PATENT LONDON ROAD,Cruicks Pottery
3717,JOHN PORTER PATENT LONDON ROAD,John Street
3718,JOHN PORTER PATENT LONDON ROAD,townhill
3719,JOHN PORTER L PATENT LONDON ROAD,Glenboig
3720,JOHN PORTER L PATENT LONDON ROAD,John Thomson Glenboig
3721,JOHN S STREET,Drumoyne
3722,JOHN S STREET,John Wallace
3723,JOHN S STREET INVERKEITHING,Drumoyne
3724,JOHN S STREET INVERKEITHING,John Wallace
3725,JOHN THOMS(ON) GLENBOI(G) GLASGO(W)   PATENT,Cardowan
3726,JOHN THOMS(ON) GLENBOI(G) GLASGO(W)   PATENT,Heathfield
3727,JOHN THOMS(ON) GLENBOI(G) GLASGO(W)   PATENT,John Young
3728,JOHN THOMS(ON) GLENBOI(G) GLASGO(W)   PATENT,trough
3729,JOHN WALLACE PATENT GLASGOW,Burnbank Coatbridge
3730,JOHN WALLACE PATENT GLASGOW,Jones and Wilson
3731,JOHN WALLACE DRUMOYNE BRICK WORKS PATENT,Glenboig
3732,JOHN WALLACE DRUMOYNE BRICK WORKS PATENT,Starworks
3733,JOHN YOUNG & SON HEATHFIELD WORKS GLASGOW,Balgonie
3734,J STARWORKS J * D GLENBOIG,Archibald Kenneth
3735,JULIAN CBB,Archibald Kenneth
3736,K  .,Archibald Kenneth
3737,K ,Bluebell
3738,K ,John Gilchrist Stein
3739,K,Glenboig
3740,K,Glenboig
3741,K BLUEBELL 6312,Bishopbriggs
3742,K BLUEBELL 6312,Keir and Cawder
3743,K GLENBOIG,Bishopbriggs
3744,K GLENBOIG,Keir and Cawder
3745,K497 GLENBOIG A45,Bishopbriggs
3746,K497 GLENBOIG A45,Keir and Cawder
3747,K & C,Bishopbriggs
3748,K & C,CORED
3749,K & C,Keir and Cawder
3750,K & C,Klinit
3751,K & C,P and M Hurll
3752,K & C,Bishopbriggs
3753,K & C,Keir and Cawder
3754,K & C,Kelvin
3755,KAOLINIT,Kelvinside
3756,KEIR & CAWDER,Kelvinside
3757,KELVIN,Kelvinside
3758,KELVINSIDE,Kelvinside
3759,KELVINSIDE,Brucefield
3760,KELVINSIDE,Kennet
3761,KELVINSIDE,Brucefield
3762,KELVINSIDE,Kennet
3763,KELVINSIDE,Brucefield
3764,KELVINSIDE,Kennet
3765,KENNET,Kershead
3766,KENNET,Kersland
3767,KENNET,Kersland
3768,KENNET,Southhook Fireclay Works
3769,KERSHEAD,John Gilchrist Stein
3770,KILMARNOCK + SOUTHHOOK,Kingseat
3771,KILNS        ,Hugh Symington
3772,KILNS        ,Kipps
3773,KING 5919,Fauldhead
3774,KING 5919,Sanquhar and Kirkconnel
3775,KINGSEAT,Kirkhill
3776,KINGSEAT,R and D Adam
3777,KIPPS H S & S COATBRIDGE,Kirkhill
3778,KIPPS H S & S COATBRIDGE,R and D Adam
3779,KIRKCONNEL,Allan Kirkwood
3780,KIRKHILL,Allan Kirkwood
3781,KIRKHILL,Darnley
3782,KIRKHILL,Allan Kirkwood
3783,KIRKHILL,Darnley
3784,KIRKWOOD,Allan Kirkwood
3785,KIRKWOOD,Fingerprint
3786,KIRKWOOD,Allan Kirkwood
3787,KIRKWOOD,Darnley
3788,KIRKWOOD,P and M Hurll
3789,KIRKWOOD,Klinit
3790,KIRKWOOD,P and M Hurll
3791,KIRKWOOD,Klinit
3792,KIRKWOOD,P and M Hurll
3793,KLIMAR 6,Klinit
3794,KLIMAR 6,P and M Hurll
3795,KLINIT,Klinit
3796,KLINIT,P and M Hurll
3797,KLINIT,Fingerprint
3798,KLINIT,Klinit
3799,KLINIT,P and M Hurll
3800,KLINIT,Klinit
3801,KLINIT,P and M Hurll
3802,KLINIT B,BCM
3803,KLINIT B,Klinit
3804,KLINIT B,P and M Hurll
3805,KLINIT B C,Klinit
3806,KLINIT B C,P and M Hurll
3807,KLINIT B & C,Klinit
3808,KLINIT B & C,P and M Hurll
3809,KLINIT BCM / PMH,Klinit
3810,KLINIT BCM / PMH,P and M Hurll
3811,KLINIT BL SUPRA,Klinit
3812,KLINIT BL SUPRA,P and M Hurll
3813,KLINIT J,Klinit
3814,KLINIT J,P and M Hurll
3815,KLINIT R,Klinit
3816,KLINIT R,P and M Hurll
3817,KLINIT GREAT BRITAIN,Klinit
3818,KLINIT GREAT BRITAIN,P and M Hurll
3819,KLINIT MB 130,Klinit
3820,KLINIT MB 130,P and M Hurll
3821,KLINIT MB 132,Klinit
3822,KLINIT MB 132,P and M Hurll
3823,KLINIT R,Klinit
3824,KLINIT R,P and M Hurll
3825,KLINIT R 3,Klinit
3826,KLINIT R 3,P and M Hurll
3827,KLINIT R 4,Klinit
3828,KLINIT R 4,P and M Hurll
3829,KLINIT R 6,Klinit
3830,KLINIT R 6,P and M Hurll
3831,KLINIT R 7 ,Klinit
3832,KLINIT R 7 ,P and M Hurll
3833,KLINIT R 10,Klinit
3834,KLINIT R 10,P and M Hurll
3835,KLINIT R 48   57,Klinit
3836,KLINIT R 48   57,P and M Hurll
3837,KLINIT R 99   108,Klinit
3838,KLINIT R 99   108,P and M Hurll
3839,KLINIT 1,Klinit
3840,KLINIT 1,P and M Hurll
3841,KLINIT 2,Klinit
3842,KLINIT 2,P and M Hurll
3843,KLINIT 4C,Klinit
3844,KLINIT 4C,P and M Hurll
3845,KLINIT 5,Klinit
3846,KLINIT 5,P and M Hurll
3847,KLINIT 6,Klinit
3848,KLINIT 6,P and M Hurll
3849,KLINIT 6P,Klinit
3850,KLINIT 6P,P and M Hurll
3851,KLINIT 7,Klinit
3852,KLINIT 7,P and M Hurll
3853,KLINIT 7,Klinit
3854,KLINIT 7,P and M Hurll
3855,KLINIT 8,Klinit
3856,KLINIT 8,P and M Hurll
3857,KLINIT 10,Klinit
3858,KLINIT 10,P and M Hurll
3859,KLINIT 12,Klinit
3860,KLINIT 12,P and M Hurll
3861,KLINIT 36   45,Klinit
3862,KLINIT 36   45,P and M Hurll
3863,KLINIT 54,Klinit
3864,KLINIT 54,P and M Hurll
3865,KLINIT 72   81,Klinit
3866,KLINIT 72   81,P and M Hurll
3867,KLINIT 72   81,Klinit
3868,KLINIT 72   81,P and M Hurll
3869,KLINIT 78,Glenboig
3870,KLINIT 96   108,John Gilchrist Stein
3871,KLINIT 96   108,KMS
3872,KLINIT 99   108,John Gilchrist Stein
3873,KLINIT 99   108,KMS
3874,KM/00 1540,John Gilchrist Stein
3875,KM/00 1540,KMS
3876,KMS  ,Knightswood
3877,KMS 56  ,Cement mix
3878,KMS 56  ,Lairg
3879,KMS 13777  ,Dyson Refractories
3880,KMS 13777  ,James Dougall
3881,KNIGHTSWOOD GLASGOW,Dyson Refractories
3882,KNIGHTSWOOD GLASGOW,James Dougall
3883,LAIRG,Dyson Refractories
3884,LAIRG,James Dougall
3885,LDP,Dyson Refractories
3886,LDP,James Dougall
3887,LDP,Dyson Refractories
3888,LDP,James Dougall
3889,LDP,Dyson Refractories
3890,LDP,James Dougall
3891,LDP DOUGALL,Detrick
3892,LDP DOUGALL,John Gilchrist Stein
3893,LDP 70,Lanemark
3894,L MS A&N DET  ,Lanemark
3895,LP  ,Lanemark
3896,LANEMARK,Larbert
3897,LANEMARK,Roof Ridge or Tile
3898,LANEMARK,Fingerprint
3899,LANEMARK,Larbert
3900,LANEMARK,Larbert
3901,LARBERT,Larbert
3902,LARBERT,Larkhall
3903,LARBERT,Larkhall
3904,LARBERT ‘CROWN‘,Larkhall
3905,LARKHALL,Larkhall
3906,LARKHALL,Larkhall
3907,LARKHALL,Larkhall
3908,LARKHALL,Larkhall
3909,LARKHALL,Larkhall Brickfields
3910,LARKHALL,Argentina
3911,LARKHALL,Atlas
3912,LARKHALL,Etna
3913,LARKHALL,Manufactured in Scotland and branded for National and Overseas Customers
3914,LARKHALL,Lochgelly
3915,LARKHALL,Scottish Brick Corporation
3916,LARKHALL BRICKWORKS LD,Garrabost
3917,LARKHALL BRICKWORKS LD,Isle of Lewis
3918,LASALL        ,Glenboig
3919,LB SBC,Glenboig
3920,LEWS BRICK,Glenboig
3921,LF 215 GLENBOIG,Lilliehill
3922,LG 137 GLENBOIG,Lilliehill
